### commands index
|                 bench name                 |                                                                                                     command                                                                                                     |
| ------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| ibd.local.range.dbcache=4000.667200.697200 | `bitcoind -dbcache=4000 -debug=coindb -debug=bench -listen=0 -connect=0 -addnode=127.0.0.1:8888 -prune=9999999 -printtoconsole=0 -assumevalid=000000000000000000176c192f42ad13ab159fdb20198b87e7ba3c001e47b876` |


### #29169 vs. f8ca1357 (absolute)
|                         bench name                         |  x  |           #29169           |          f8ca1357          |
| ---------------------------------------------------------- | --: | -------------------------- | -------------------------- |
| ibd.local.range.dbcache=4000.667200.697200.total_secs      |   2 | 13522.9734 (± 42.0521)     | 12901.7487 (± 6.9377)      |
| ibd.local.range.dbcache=4000.667200.697200.peak_rss_KiB    |   2 | 4431630.0000 (± 5274.0000) | 4431262.0000 (± 1938.0000) |
| ibd.local.range.dbcache=4000.667200.697200.cpu_kernel_secs |   2 | 462.5950 (± 1.8850)        | 459.9700 (± 0.5700)        |
| ibd.local.range.dbcache=4000.667200.697200.cpu_user_secs   |   2 | 47645.5000 (± 175.3900)    | 45210.2300 (± 37.1900)     |


### #29169 vs. f8ca1357 (relative)
|                         bench name                         |  x  |       #29169       | f8ca1357 |
| ---------------------------------------------------------- | --: | -----------------: | -------: |
| ibd.local.range.dbcache=4000.667200.697200.total_secs      |   2 | 1.0481504324562638 |        1 |
| ibd.local.range.dbcache=4000.667200.697200.peak_rss_KiB    |   2 | 1.0000830463195360 |        1 |
| ibd.local.range.dbcache=4000.667200.697200.cpu_kernel_secs |   2 | 1.0057068939278648 |        1 |
| ibd.local.range.dbcache=4000.667200.697200.cpu_user_secs   |   2 | 1.0538654636351110 |        1 |


